...1,ns,title,pageid,size,wordcount,snippet,timestamp,query_string,category,jac,lev
8,14,Category:Metatheory of science,25004257,188,0,"Reductionism / Determinism Rationalism / Empiricism Received view / Semantic view <span class=""searchmatch"">of</span> <span class=""searchmatch"">theories</span> Scientific realism / Anti-realism Scientific essentialism Scientific",2014-10-19T17:09:05Z,theories of knowledge,Metatheory of science,0.8484848484848485,14
0,14,Category:Logic literature,22410600,232,4,"Philosophy portal <span class=""searchmatch"">Literature</span> portal",2019-09-09T05:59:48Z,theories of literature,Logic literature,0.64,9
1,14,Category:Epistemology literature,13083243,221,2,"<span class=""searchmatch"">Literature</span> portal",2019-07-19T21:12:50Z,theories of literature,Epistemology literature,0.71875,11
2,14,Category:Ethics literature,6283119,227,2,"<span class=""searchmatch"">Literature</span> portal",2019-08-03T18:29:53Z,theories of literature,Ethics literature,0.6538461538461539,8
3,14,Category:Personality trait theorists,16146832,981,98,"influence behavior. Although trait <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> personality are currently the most dominant <span class=""searchmatch"">theories</span> in the personality <span class=""searchmatch"">literature</span>, it was the Greek philosopher",2019-11-01T10:58:47Z,theories of literature,Personality trait theorists,0.875,21
4,14,Category:Literary criticism,733855,671,62,"interpretation <span class=""searchmatch"">of</span> <span class=""searchmatch"">literature</span>. Modern literary criticism is often influenced by literary <span class=""searchmatch"">theory</span>, which is the philosophical discussion <span class=""searchmatch"">of</span> <span class=""searchmatch"">literature</span>'s goals and",2021-01-05T12:52:22Z,theories of literature,Literary criticism,0.9090909090909091,18
5,14,Category:Theories of deduction,23357224,254,2,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> aesthetics Epistemological <span class=""searchmatch"">theories</span> Ethical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> deduction Metaphysical <span class=""searchmatch"">theories</span> Social <span class=""searchmatch"">theories</span> Philosophers Concepts Literature",2019-09-09T06:00:09Z,theories of literature,Theories of deduction,0.7,10
6,14,Category:Essays about literature,33685929,200,3,"Essays about <span class=""searchmatch"">literature</span>.",2018-07-09T08:12:59Z,theories of literature,Essays about literature,0.71875,11
7,14,Category:Postmodern theory,704758,972,82,"as an ambiguous overarching term for skeptical interpretations <span class=""searchmatch"">of</span> culture, <span class=""searchmatch"">literature</span>, art, philosophy, economics, architecture, fiction, and literary",2021-01-08T11:16:04Z,theories of literature,Postmodern theory,0.90625,19
9,14,Category:Social theories,23079219,211,29,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> aesthetics Epistemological <span class=""searchmatch"">theories</span> Ethical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> deduction Metaphysical <span class=""searchmatch"">theories</span> Social <span class=""searchmatch"">theories</span> Philosophers Concepts Literature",2020-08-07T19:14:31Z,theories of literature,Social theories,0.7777777777777778,18
0,14,Category:Creationism,919511,1850,190,"the Genesis creation narrative and the rejection <span class=""searchmatch"">of</span> the scientific <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">evolution</span>. As the history <span class=""searchmatch"">of</span> evolutionary thought developed from the 18th century",2021-11-15T06:56:07Z,theory of evolution,Creationism,0.9166666666666666,16
1,14,Category:Creationists,1529210,1677,190,"the Genesis creation narrative and the rejection <span class=""searchmatch"">of</span> the scientific <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">evolution</span>. As the history <span class=""searchmatch"">of</span> evolutionary thought developed from the 18th century",2021-10-03T13:50:27Z,theory of evolution,Creationists,0.92,16
2,14,Category:Proto-evolutionary biologists,1131599,498,62,"kind <span class=""searchmatch"">of</span> <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">evolution</span> before Charles Darwin and Alfred Russel Wallace published their <span class=""searchmatch"">theory</span> in 1858. They contributed some aspects <span class=""searchmatch"">of</span> the <span class=""searchmatch"">theory</span> without",2018-06-17T23:32:58Z,theory of evolution,Proto-evolutionary biologists,0.7777777777777778,21
6,14,Category:Sociocultural evolution theory,50629666,149,0,"Wikimedia Commons has media related to Sociocultural <span class=""searchmatch"">evolution</span>.",2018-12-31T22:33:52Z,theory of evolution,Sociocultural evolution theory,0.6363636363636364,19
8,14,Category:Neutral theory,68646467,149,0,NA,2021-09-04T22:49:56Z,theory of evolution,Neutral theory,0.84,16
9,14,Category:Metatheory of science,25004257,188,0,"Paradigm Problem <span class=""searchmatch"">of</span> induction Scientific law Scientific method Scientific revolution Scientific <span class=""searchmatch"">theory</span> Testability <span class=""searchmatch"">Theory</span> choice <span class=""searchmatch"">Theory</span>-ladenness Underdetermination",2014-10-19T17:09:05Z,theory of evolution,Metatheory of science,0.7142857142857143,13
0,14,Category:Music theory,736492,633,66,"<span class=""searchmatch"">Music</span> <span class=""searchmatch"">theory</span> is a set <span class=""searchmatch"">of</span> systems for analyzing, classifying, and composing <span class=""searchmatch"">music</span> and the elements <span class=""searchmatch"">of</span> <span class=""searchmatch"">music</span>. Narrowly it may be defined as the description",2020-02-26T02:02:42Z,theory of music,Music theory,0.6470588235294117,14
1,14,Category:Music theory stubs,1802185,421,65,"category for topics in <span class=""searchmatch"">Music</span> <span class=""searchmatch"">theory</span>. Following the scope <span class=""searchmatch"">of</span> Wikipedia:WikiProject <span class=""searchmatch"">Music</span> <span class=""searchmatch"">theory</span>, this category &quot;covers Western <span class=""searchmatch"">music</span> only and does not cover",2020-02-29T23:05:31Z,theory of music,Music theory stubs,0.6818181818181819,13
4,14,Category:Music theorists,1118554,417,46,"active centre <span class=""searchmatch"">of</span> study, to the present day. <span class=""searchmatch"">Music</span> <span class=""searchmatch"">theory</span> is usually considered a subclassification <span class=""searchmatch"">of</span> musicology, the general academic study <span class=""searchmatch"">of</span> <span class=""searchmatch"">music</span>.",2020-11-13T16:02:46Z,theory of music,Music theorists,0.7619047619047619,14
6,14,Category:German music theorists,5878963,457,48,"centre <span class=""searchmatch"">of</span> study, to the present day. <span class=""searchmatch"">Music</span> <span class=""searchmatch"">theory</span> is usually considered to be a subclassification <span class=""searchmatch"">of</span> musicology, the general academic study <span class=""searchmatch"">of</span> <span class=""searchmatch"">music</span>.",2021-03-27T16:12:45Z,theory of music,German music theorists,0.7307692307692308,17
7,14,Category:Italian music theorists,5879293,472,52,"Italy portal <span class=""searchmatch"">Music</span> portal <span class=""searchmatch"">Music</span> theorists are those who study <span class=""searchmatch"">music</span> <span class=""searchmatch"">theory</span>. This category includes theorists from the ancient world, especially ancient",2020-08-15T23:53:21Z,theory of music,Italian music theorists,0.7407407407407407,19
8,14,Category:American music theorists,6031559,452,48,"centre <span class=""searchmatch"">of</span> study, to the present day. <span class=""searchmatch"">Music</span> <span class=""searchmatch"">theory</span> is usually considered to be a subclassification <span class=""searchmatch"">of</span> musicology, the general academic study <span class=""searchmatch"">of</span> <span class=""searchmatch"">music</span>.",2013-03-25T16:27:15Z,theory of music,American music theorists,0.75,17
9,14,Category:Chinese music theorists,41578986,310,33,"<span class=""searchmatch"">Music</span> theorists are those who study <span class=""searchmatch"">music</span> <span class=""searchmatch"">theory</span>. This category includes theorists from the ancient world. <span class=""searchmatch"">Music</span> <span class=""searchmatch"">theory</span> is usually considered to be a",2014-01-07T22:32:12Z,theory of music,Chinese music theorists,0.7407407407407407,18
2,14,Category:Logic stubs,12198154,490,214,"Philosophy <span class=""searchmatch"">of</span> Science Task Force Philosophy <span class=""searchmatch"">of</span> Language Task Force Theoretical Linguistics Task Force WikiProject Pseudoscience WikiProject Game <span class=""searchmatch"">theory</span> WikiProject",2021-01-01T11:04:00Z,theory of style,Logic stubs,0.9523809523809523,11
4,14,Category:Style,36387979,136,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Style</span>.",2018-11-26T00:16:01Z,theory of style,Style,0.8571428571428572,11
0,14,Category:Functionalism (social theory),36599442,228,21,"This category is for all social <span class=""searchmatch"">theories</span> and theorists related to functionalism. For other meanings <span class=""searchmatch"">of</span> the <span class=""searchmatch"">word</span>, see Functionalism (disambiguation).",2019-10-24T21:17:28Z,theory of word,Functionalism (social theory),0.8857142857142857,23
